phase theta,reflectance
173.252,0.000205392
176.709,0.000418061
168.326,0.000108138
173.055,0.000194799
176.614,0.000402791
168.174,0.000106811
172.872,0.000192387
176.514,0.000389183
168.022,0.000106493
172.681,0.000185597
176.418,0.000379389
167.875,0.000105164
172.494,0.000179075
176.325,0.000378996
167.737,0.000101853
172.315,0.000172643
176.231,0.000351946
167.611,9.73599e-05
172.143,0.00016734
176.137,0.000340654
167.481,9.43964e-05
171.977,0.000166118
176.038,0.000329127
167.339,9.24268e-05
171.81,0.000164184
175.946,0.000320394
167.196,8.84858e-05
171.648,0.000161823
175.87,0.000314304
167.056,8.78762e-05
171.49,0.000159793
175.788,0.000307059
166.723,8.6005e-05
171.339,0.000158406
175.712,0.000298181
166.145,8.08e-05
171.185,0.000155843
175.641,0.000292796
165.687,7.70251e-05
171.038,0.000154468
175.559,0.000286869
165.231,7.27685e-05
170.901,0.000153476
175.473,0.00027739
164.511,6.50482e-05
170.755,0.000150957
156.972,2.54322e-05
175.409,0.000273527
164.228,6.41878e-05
170.612,0.000146665
156.87,2.74418e-05
175.378,0.000268333
164.097,6.41183e-05
170.478,0.0001431
156.788,2.767e-05
175.323,0.000263093
163.943,6.24527e-05
170.337,0.00013881
175.251,0.000259754
163.798,6.11724e-05
170.209,0.000136129
156.596,2.63691e-05
175.181,0.000256322
163.657,5.92106e-05
170.089,0.000135887
156.514,3.00549e-05
175.111,0.00025078
163.51,5.70859e-05
169.963,0.000133151
156.426,2.97624e-05
175.044,0.000247345
163.38,5.51915e-05
169.845,0.0001325
156.357,2.98021e-05
174.979,0.000244184
163.26,5.37714e-05
169.729,0.000130669
156.289,2.98491e-05
174.916,0.000238569
163.154,5.32631e-05
169.62,0.000128648
156.235,2.97906e-05
174.854,0.000234705
163.051,5.19374e-05
169.513,0.000126149
156.172,2.99014e-05
174.794,0.000233034
162.961,5.07814e-05
169.416,0.000123773
156.136,2.79792e-05
174.738,0.000230216
162.883,5.073e-05
169.325,0.000123067
156.101,2.80159e-05
174.682,0.000228367
162.805,5.07575e-05
169.235,0.000122568
156.061,2.88459e-05
174.627,0.000225883
162.733,5.00908e-05
169.192,0.00012377
156.026,2.95964e-05
174.575,0.000219277
162.668,4.96954e-05
169.753,0.000144888
156.003,2.92727e-05
174.527,0.00021772
162.617,4.99428e-05
170.023,0.000152437
155.999,2.55092e-05
174.476,0.000215394
162.555,4.96798e-05
169.905,0.000149217
174.432,0.00021336
162.513,4.95509e-05
170.064,0.000155279
155.977,2.77742e-05
174.386,0.000212661
162.467,4.97067e-05
169.992,0.000153631
155.968,2.89583e-05
174.345,0.000211103
162.435,5.00803e-05
170.206,0.000160733
155.971,2.79132e-05
174.304,0.000207912
162.401,5.01283e-05
