Optical constants of epsomite (Mg SO_4 . 7 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound 
7.380000E-01,1.449988E+00,3.272829E-07,1.449981E+00,4.910334E-07,1.449991E+00,2.455127E-07
7.410001E-01,1.449987E+00,3.347289E-07,1.449981E+00,5.021676E-07,1.449991E+00,2.510095E-07
7.440000E-01,1.449987E+00,3.428595E-07,1.449980E+00,5.143638E-07,1.449990E+00,2.571073E-07
7.470000E-01,1.449987E+00,3.516117E-07,1.449980E+00,5.275633E-07,1.449990E+00,2.637422E-07
7.500000E-01,1.449986E+00,3.614192E-07,1.449980E+00,5.420615E-07,1.449990E+00,2.710624E-07
7.530000E-01,1.449986E+00,3.712938E-07,1.449979E+00,5.570161E-07,1.449990E+00,2.784325E-07
7.560000E-01,1.449986E+00,3.809487E-07,1.449979E+00,5.715704E-07,1.449989E+00,2.857812E-07
7.590000E-01,1.449986E+00,3.898045E-07,1.449978E+00,5.846388E-07,1.449989E+00,2.922793E-07
7.620000E-01,1.449985E+00,3.988628E-07,1.449978E+00,5.981538E-07,1.449989E+00,2.991090E-07
7.650000E-01,1.449985E+00,4.075450E-07,1.449977E+00,6.114669E-07,1.449989E+00,3.057293E-07
7.680000E-01,1.449985E+00,4.170844E-07,1.449977E+00,6.255214E-07,1.449988E+00,3.127567E-07
7.710000E-01,1.449984E+00,4.266859E-07,1.449976E+00,6.401062E-07,1.449988E+00,3.200489E-07
7.740000E-01,1.449984E+00,4.365696E-07,1.449976E+00,6.549321E-07,1.449988E+00,3.273884E-07
7.770000E-01,1.449984E+00,4.462222E-07,1.449975E+00,6.692637E-07,1.449988E+00,3.347014E-07
7.800000E-01,1.449983E+00,4.557884E-07,1.449975E+00,6.836865E-07,1.449988E+00,3.418761E-07
7.830001E-01,1.449983E+00,4.640778E-07,1.449975E+00,6.961211E-07,1.449987E+00,3.480563E-07
7.860000E-01,1.449983E+00,4.718208E-07,1.449974E+00,7.078845E-07,1.449987E+00,3.538635E-07
7.890000E-01,1.449982E+00,4.783370E-07,1.449974E+00,7.174721E-07,1.449987E+00,3.588068E-07
7.919999E-01,1.449982E+00,4.836868E-07,1.449973E+00,7.254595E-07,1.449987E+00,3.628006E-07
7.950000E-01,1.449982E+00,4.885357E-07,1.449973E+00,7.328082E-07,1.449986E+00,3.663619E-07
7.980000E-01,1.449981E+00,4.920825E-07,1.449972E+00,7.382228E-07,1.449986E+00,3.690314E-07
8.010001E-01,1.449981E+00,4.944644E-07,1.449972E+00,7.417580E-07,1.449986E+00,3.708747E-07
8.040000E-01,1.449981E+00,4.955918E-07,1.449971E+00,7.436205E-07,1.449986E+00,3.717298E-07
8.070000E-01,1.449980E+00,4.960629E-07,1.449971E+00,7.440987E-07,1.449985E+00,3.719685E-07
8.100001E-01,1.449980E+00,4.949872E-07,1.449970E+00,7.425624E-07,1.449985E+00,3.712768E-07
8.130000E-01,1.449980E+00,4.940440E-07,1.449970E+00,7.409934E-07,1.449985E+00,3.705694E-07
8.160001E-01,1.449979E+00,4.926934E-07,1.449969E+00,7.390829E-07,1.449985E+00,3.695373E-07
8.190001E-01,1.449979E+00,4.913582E-07,1.449969E+00,7.369839E-07,1.449984E+00,3.684874E-07
8.220000E-01,1.449979E+00,4.898439E-07,1.449968E+00,7.348486E-07,1.449984E+00,3.674198E-07
8.250000E-01,1.449978E+00,4.888143E-07,1.449968E+00,7.331476E-07,1.449984E+00,3.664911E-07
8.280000E-01,1.449978E+00,4.880784E-07,1.449967E+00,7.323577E-07,1.449984E+00,3.660958E-07
8.310000E-01,1.449978E+00,4.885855E-07,1.449967E+00,7.328038E-07,1.449983E+00,3.663975E-07
8.340001E-01,1.449977E+00,4.896373E-07,1.449966E+00,7.343418E-07,1.449983E+00,3.672455E-07
8.370000E-01,1.449977E+00,4.922720E-07,1.449965E+00,7.385711E-07,1.449983E+00,3.692017E-07
8.400000E-01,1.449977E+00,4.964268E-07,1.449965E+00,7.445652E-07,1.449982E+00,3.722780E-07
8.430001E-01,1.449976E+00,5.013987E-07,1.449964E+00,7.520223E-07,1.449982E+00,3.760068E-07
8.460000E-01,1.449976E+00,5.078376E-07,1.449964E+00,7.618414E-07,1.449982E+00,3.808760E-07
8.490000E-01,1.449975E+00,5.149540E-07,1.449963E+00,7.725165E-07,1.449982E+00,3.861730E-07
8.520001E-01,1.449975E+00,5.230779E-07,1.449963E+00,7.844597E-07,1.449981E+00,3.923062E-07
8.550000E-01,1.449975E+00,5.318949E-07,1.449962E+00,7.977658E-07,1.449981E+00,3.988784E-07
8.580000E-01,1.449974E+00,5.430400E-07,1.449961E+00,8.145645E-07,1.449981E+00,4.073591E-07
8.610001E-01,1.449974E+00,5.547400E-07,1.449961E+00,8.321149E-07,1.449980E+00,4.160528E-07
8.640000E-01,1.449974E+00,5.682294E-07,1.449960E+00,8.523900E-07,1.449980E+00,4.261902E-07
8.670000E-01,1.449973E+00,5.822925E-07,1.449960E+00,8.736081E-07,1.449980E+00,4.368816E-07
8.700000E-01,1.449973E+00,5.975124E-07,1.449959E+00,8.962730E-07,1.449980E+00,4.481319E-07
8.730000E-01,1.449972E+00,6.134857E-07,1.449959E+00,9.202333E-07,1.449979E+00,4.601534E-07
8.760000E-01,1.449972E+00,6.293884E-07,1.449958E+00,9.440039E-07,1.449979E+00,4.719974E-07
8.790000E-01,1.449972E+00,6.455524E-07,1.449957E+00,9.682501E-07,1.449979E+00,4.841203E-07
8.820001E-01,1.449971E+00,6.614775E-07,1.449957E+00,9.921373E-07,1.449978E+00,4.961476E-07
8.850001E-01,1.449971E+00,6.783354E-07,1.449956E+00,1.017508E-06,1.449978E+00,5.087911E-07
8.880000E-01,1.449970E+00,6.956291E-07,1.449955E+00,1.043701E-06,1.449978E+00,5.217616E-07
8.910000E-01,1.449970E+00,7.137007E-07,1.449955E+00,1.070725E-06,1.449978E+00,5.353574E-07
8.940000E-01,1.449970E+00,7.317927E-07,1.449954E+00,1.097736E-06,1.449977E+00,5.488633E-07
8.970000E-01,1.449969E+00,7.510115E-07,1.449954E+00,1.126607E-06,1.449977E+00,5.632138E-07
9.000000E-01,1.449969E+00,7.704276E-07,1.449953E+00,1.155646E-06,1.449977E+00,5.778185E-07
9.030000E-01,1.449968E+00,7.902993E-07,1.449952E+00,1.185539E-06,1.449976E+00,5.927651E-07
9.060001E-01,1.449968E+00,8.097704E-07,1.449952E+00,1.214747E-06,1.449976E+00,6.072824E-07
9.090000E-01,1.449967E+00,8.298702E-07,1.449951E+00,1.245155E-06,1.449976E+00,6.224002E-07
9.119999E-01,1.449967E+00,8.493933E-07,1.449950E+00,1.274181E-06,1.449975E+00,6.369990E-07
9.150001E-01,1.449967E+00,8.686790E-07,1.449950E+00,1.302850E-06,1.449975E+00,6.515069E-07
9.180000E-01,1.449966E+00,8.861572E-07,1.449949E+00,1.329241E-06,1.449975E+00,6.646154E-07
9.209998E-01,1.449966E+00,9.007604E-07,1.449949E+00,1.351407E-06,1.449974E+00,6.756988E-07
9.240000E-01,1.449965E+00,9.129860E-07,1.449948E+00,1.369484E-06,1.449974E+00,6.845617E-07
9.270000E-01,1.449965E+00,9.234251E-07,1.449947E+00,1.385187E-06,1.449974E+00,6.925001E-07
9.299998E-01,1.449964E+00,9.354999E-07,1.449947E+00,1.403608E-06,1.449973E+00,7.017107E-07
9.330000E-01,1.449964E+00,9.526788E-07,1.449946E+00,1.429023E-06,1.449973E+00,7.145954E-07
9.359999E-01,1.449963E+00,9.731452E-07,1.449945E+00,1.459723E-06,1.449973E+00,7.298565E-07
9.390001E-01,1.449963E+00,9.990686E-07,1.449944E+00,1.498607E-06,1.449972E+00,7.492986E-07
9.420000E-01,1.449962E+00,1.030855E-06,1.449944E+00,1.546288E-06,1.449972E+00,7.731391E-07
9.450000E-01,1.449962E+00,1.069638E-06,1.449943E+00,1.604641E-06,1.449972E+00,8.023156E-07
9.480000E-01,1.449962E+00,1.112782E-06,1.449942E+00,1.669448E-06,1.449971E+00,8.345397E-07
9.510000E-01,1.449961E+00,1.161953E-06,1.449942E+00,1.742934E-06,1.449971E+00,8.714621E-07
9.540000E-01,1.449961E+00,1.213040E-06,1.449941E+00,1.819746E-06,1.449970E+00,9.098679E-07
9.570000E-01,1.449960E+00,1.268783E-06,1.449940E+00,1.903179E-06,1.449970E+00,9.515845E-07
9.600000E-01,1.449960E+00,1.326490E-06,1.449939E+00,1.989649E-06,1.449970E+00,9.948197E-07
9.630000E-01,1.449959E+00,1.389833E-06,1.449939E+00,2.084662E-06,1.449969E+00,1.042326E-06
9.660001E-01,1.449959E+00,1.458492E-06,1.449938E+00,2.187926E-06,1.449969E+00,1.093774E-06
9.690000E-01,1.449958E+00,1.536007E-06,1.449937E+00,2.304291E-06,1.449969E+00,1.152141E-06
9.719998E-01,1.449958E+00,1.622457E-06,1.449936E+00,2.433876E-06,1.449968E+00,1.216932E-06
9.750000E-01,1.449957E+00,1.714407E-06,1.449936E+00,2.571616E-06,1.449968E+00,1.285802E-06
9.780000E-01,1.449957E+00,1.810045E-06,1.449935E+00,2.714980E-06,1.449968E+00,1.357485E-06
9.809999E-01,1.449956E+00,1.902516E-06,1.449934E+00,2.853965E-06,1.449967E+00,1.426977E-06
9.840000E-01,1.449956E+00,1.990104E-06,1.449934E+00,2.985162E-06,1.449967E+00,1.492576E-06
9.870000E-01,1.449955E+00,2.071076E-06,1.449933E+00,3.106618E-06,1.449966E+00,1.553116E-06
9.899999E-01,1.449955E+00,2.145364E-06,1.449932E+00,3.218239E-06,1.449966E+00,1.609302E-06
9.930000E-01,1.449954E+00,2.216297E-06,1.449932E+00,3.324451E-06,1.449966E+00,1.662032E-06
9.960000E-01,1.449954E+00,2.281950E-06,1.449931E+00,3.422931E-06,1.449965E+00,1.711271E-06
9.990000E-01,1.449953E+00,2.344927E-06,1.449930E+00,3.517395E-06,1.449965E+00,1.758503E-06
1.002000E+00,1.449953E+00,2.401396E-06,1.449929E+00,3.602479E-06,1.449965E+00,1.801044E-06
1.005000E+00,1.449953E+00,2.459305E-06,1.449929E+00,3.688772E-06,1.449964E+00,1.844190E-06
1.008000E+00,1.449952E+00,2.507573E-06,1.449928E+00,3.760981E-06,1.449964E+00,1.880485E-06
1.011000E+00,1.449952E+00,2.544958E-06,1.449927E+00,3.817442E-06,1.449964E+00,1.908907E-06
