Optical constants of bloedite (Na_2 Mg(SO_4)_2 . 4 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound
5.710000E-01,1.485002E+00,2.942837E-06,1.485001E+00,1.640292E-06,1.485003E+00,4.043666E-06
5.720000E-01,1.485002E+00,2.944939E-06,1.485001E+00,1.641387E-06,1.485002E+00,4.046800E-06
5.730000E-01,1.485002E+00,2.950324E-06,1.485001E+00,1.644140E-06,1.485002E+00,4.055118E-06
5.740000E-01,1.485001E+00,2.955087E-06,1.485001E+00,1.646406E-06,1.485002E+00,4.061427E-06
5.750000E-01,1.485001E+00,2.957731E-06,1.485001E+00,1.647560E-06,1.485002E+00,4.065235E-06
5.760000E-01,1.485001E+00,2.959949E-06,1.485001E+00,1.648567E-06,1.485002E+00,4.068178E-06
5.770000E-01,1.485001E+00,2.966266E-06,1.485001E+00,1.651730E-06,1.485001E+00,4.077349E-06
5.780000E-01,1.485001E+00,2.968623E-06,1.485001E+00,1.652797E-06,1.485001E+00,4.080590E-06
5.790000E-01,1.485001E+00,2.966740E-06,1.485001E+00,1.651439E-06,1.485001E+00,4.077061E-06
5.800000E-01,1.485001E+00,2.962909E-06,1.485001E+00,1.649599E-06,1.485001E+00,4.071625E-06
5.810000E-01,1.485001E+00,2.960063E-06,1.485001E+00,1.648182E-06,1.485001E+00,4.067605E-06
5.820000E-01,1.485001E+00,2.955223E-06,1.485001E+00,1.645694E-06,1.485001E+00,4.060641E-06
5.830000E-01,1.485001E+00,2.949741E-06,1.485000E+00,1.643160E-06,1.485001E+00,4.052522E-06
5.840000E-01,1.485000E+00,2.949042E-06,1.485000E+00,1.643102E-06,1.485001E+00,4.051666E-06
5.850000E-01,1.485000E+00,2.950360E-06,1.485000E+00,1.643958E-06,1.485000E+00,4.052707E-06
5.860000E-01,1.485000E+00,2.951996E-06,1.485000E+00,1.645252E-06,1.485000E+00,4.054615E-06
5.870000E-01,1.485000E+00,2.955556E-06,1.485000E+00,1.647250E-06,1.485000E+00,4.059333E-06
